Datetime,observed,trend,seasonal,resid
2022-11-07 11:00:00,9.031,9.033468749999999,-0.26879197784163017,0.2663232278416317
2022-11-07 11:30:00,9.024,9.02946875,-0.3083491067478799,0.30288035674787955
2022-11-07 12:00:00,9.018,9.025395833333333,-0.30833331898746325,0.3009374856541313
2022-11-07 12:30:00,9.013,9.021427083333334,-0.3059343932062136,0.2975073098728794
2022-11-07 13:00:00,9.013,9.017635416666666,-0.32012628773746304,0.31549087107079704
2022-11-07 13:30:00,9.005,9.013927083333332,-0.29656655466454657,0.2876394713312153
2022-11-07 14:00:00,8.995,9.0103125,-0.2979905455499634,0.2826780455499631
2022-11-07 14:30:00,8.993,9.006833333333333,-0.26242332549788017,0.2485899921645477
2022-11-07 15:00:00,8.994,9.003437499999999,-0.22236440622704634,0.21292690622704746
2022-11-07 15:30:00,8.99,9.000052083333332,-0.1836118020603798,0.1735597187270485
2022-11-07 16:00:00,8.982,8.996666666666666,-0.11250877471663012,0.0978421080499633
2022-11-07 16:30:00,8.981,8.993375,-0.06877765492496338,0.05640265492496291
2022-11-07 17:00:00,8.981,8.990197916666666,0.015504897158370026,-0.024702813825036498
2022-11-07 17:30:00,8.978,8.987041666666666,0.0891624492417033,-0.09820411590836992
2022-11-07 18:00:00,8.973,8.983916666666666,0.20166847137712,-0.2125851380437849
2022-11-07 18:30:00,8.967,8.98084375,0.26215040497087,-0.2759941549708695
2022-11-07 19:00:00,8.965,8.97778125,0.26800782684587016,-0.2807890768458699
2022-11-07 19:30:00,8.965,8.97471875,0.3609026836167035,-0.37062143361670286
2022-11-07 20:00:00,8.961,8.9716875,0.366887942530966,-0.37757544253096553
2022-11-07 20:30:00,8.957,8.968770833333332,0.41528617971045345,-0.42705701304378496
2022-11-07 21:00:00,8.958,8.966010416666665,0.39693569894122266,-0.404946115607887
2022-11-07 21:30:00,8.957,8.963354166666667,0.40768666047968416,-0.4140408271463504
2022-11-07 22:00:00,8.953,8.960666666666668,0.3492425899668636,-0.3569092566335325
2022-11-07 22:30:00,8.951,8.957875,0.3356911476591713,-0.3425661476591704
2022-11-07 23:00:00,8.948,8.955072916666667,0.2831161476591714,-0.2901890643258384
2022-11-07 23:30:00,8.944,8.952364583333333,0.3173895450950687,-0.32575412842840085
2022-11-08 00:00:00,8.943,8.949770833333332,0.2562943527873766,-0.2630651861207091
2022-11-08 00:30:00,8.944,8.94725,0.19914771817199184,-0.20239771817199137
2022-11-08 01:00:00,8.943,8.944718749999998,0.16422528227455638,-0.16594403227455481
2022-11-08 01:30:00,8.943,8.942208333333333,0.13508473740276097,-0.13429307073609467
2022-11-08 02:00:00,8.942,8.939822916666667,0.10253377586429942,-0.10035669253096664
2022-11-08 02:30:00,8.941,8.937510416666665,0.10594435278737645,-0.10245476945404096
2022-11-08 03:00:00,8.939,8.935166666666666,0.04586021817199195,-0.042026884838657484
2022-11-08 03:30:00,8.937,8.932822916666668,0.017898614606286552,-0.013721531272954886
2022-11-08 04:00:00,8.937,8.930572916666666,0.0009967591375369357,0.005430324195796592
2022-11-08 04:30:00,8.938,8.928364583333332,-0.03142316273746346,0.041058579404132024
2022-11-08 05:00:00,8.933,8.92609375,-0.06524559112287995,0.07215184112288006
2022-11-08 05:30:00,8.93,8.92378125,-0.11487124216454686,0.12108999216454724
2022-11-08 06:00:00,8.93,8.921510416666667,-0.12146287627912977,0.1299524596124625
2022-11-08 06:30:00,8.928,8.919333333333332,-0.12458299346662988,0.13324966013329825
2022-11-08 07:00:00,8.921,8.917208333333335,-0.1643058124770464,0.16809747914371104
2022-11-08 07:30:00,8.914,8.915052083333332,-0.16992120961246332,0.1688691262791306
2022-11-08 08:00:00,8.912,8.912875000000001,-0.18922264190413013,0.1883476419041295
2022-11-08 08:30:00,8.913,8.91071875,-0.1890105650812133,0.19129181508121443
2022-11-08 09:00:00,8.912,8.90853125,-0.22308543487287985,0.22655418487288131
2022-11-08 09:30:00,8.909,8.906312499999999,-0.22523175648746288,0.22791925648746506
2022-11-08 10:00:00,8.904,8.904145833333333,-0.25126854034163,0.25112270700829714
2022-11-08 10:30:00,8.9,8.902041666666667,-0.27220848174787965,0.2701668150812127
2022-11-08 11:00:00,8.898,8.899979166666666,-0.26879197784163017,0.2668128111749635
2022-11-08 11:30:00,8.897,8.897968749999999,-0.3083491067478799,0.3073803567478815
2022-11-08 12:00:00,8.896,8.895989583333334,-0.30833331898746325,0.30834373565413026
2022-11-08 12:30:00,8.893,8.893989583333333,-0.3059343932062136,0.30494480987288114
2022-11-08 13:00:00,8.89,8.891958333333333,-0.32012628773746304,0.3181679544041304
2022-11-08 13:30:00,8.887,8.889895833333334,-0.29656655466454657,0.293670721331213
2022-11-08 14:00:00,8.884,8.8878125,-0.2979905455499634,0.29417804554996296
2022-11-08 14:30:00,8.882,8.885739583333333,-0.26242332549788017,0.25868374216454704
2022-11-08 15:00:00,8.88,8.883718749999998,-0.22236440622704634,0.218645656227049
2022-11-08 15:30:00,8.879,8.881770833333333,-0.1836118020603798,0.18084096872704686
2022-11-08 16:00:00,8.877,8.879854166666666,-0.11250877471663012,0.10965460804996463
2022-11-08 16:30:00,8.874,8.8779375,-0.06877765492496338,0.06484015492496412
2022-11-08 17:00:00,8.87,8.876072916666667,0.015504897158370026,-0.021577813825037564
2022-11-08 17:30:00,8.867,8.874291666666666,0.0891624492417033,-0.09645411590836866
2022-11-08 18:00:00,8.866,8.872541666666665,0.20166847137712,-0.20821013804378533
2022-11-08 18:30:00,8.865,8.870822916666667,0.26215040497087,-0.26797332163753634
2022-11-08 19:00:00,8.863,8.869197916666666,0.26800782684587016,-0.2742057435125365
2022-11-08 19:30:00,8.86,8.86771875,0.3609026836167035,-0.36862143361670396
2022-11-08 20:00:00,8.857,8.86634375,0.366887942530966,-0.3762316925309671
2022-11-08 20:30:00,8.854,8.864979166666666,0.41528617971045345,-0.42626534637712044
2022-11-08 21:00:00,8.851,8.863604166666665,0.39693569894122266,-0.40953986560788674
2022-11-08 21:30:00,8.851,8.862260416666667,0.40768666047968416,-0.4189470771463498
2022-11-08 22:00:00,8.851,8.861010416666666,0.3492425899668636,-0.3592530066335286
2022-11-08 22:30:00,8.851,8.859885416666664,0.3356911476591713,-0.3445765643258345
2022-11-08 23:00:00,8.85,8.858843749999998,0.2831161476591714,-0.29195989765917013
2022-11-08 23:30:00,8.849,8.8578125,0.3173895450950687,-0.32620204509506817
